,每日涉港報導比例
2019-10-01,0.0824524312896406
2019-10-02,0.08928571428571429
2019-10-03,0.052083333333333336
2019-10-04,0.14910025706940874
2019-10-05,0.2553191489361702
2019-10-06,0.1889763779527559
2019-10-07,0.2073170731707317
2019-10-08,0.09473684210526316
2019-10-09,0.09477124183006536
2019-10-10,0.15364583333333334
2019-10-11,0.12139917695473251
2019-10-12,0.09702970297029703
2019-10-13,0.13286713286713286
2019-10-14,0.10795454545454546
2019-10-15,0.10462776659959759
2019-10-16,0.2248062015503876
2019-10-17,0.17519685039370078
2019-10-18,0.126232741617357
2019-10-19,0.16404494382022472
2019-10-20,0.14189189189189189
2019-10-21,0.1252408477842004
2019-10-22,0.11154598825831702
2019-10-23,0.16085271317829458
2019-10-24,0.11797752808988764
2019-10-25,0.11516314779270634
2019-10-26,0.1010752688172043
2019-10-27,0.11963882618510158
2019-10-28,0.10133843212237094
2019-10-29,0.1218568665377176
2019-10-30,0.166015625
2019-10-31,0.14583333333333334
2019-11-01,0.14145383104125736
2019-11-02,0.14799154334038056
2019-11-03,0.20464135021097046
2019-11-04,0.12361623616236163
2019-11-05,0.19925512104283055
2019-11-06,0.15976331360946747
2019-11-07,0.2138364779874214
2019-11-08,0.16074766355140188
2019-11-09,0.15246636771300448
2019-11-10,0.15046296296296297
2019-11-11,0.1328125
2019-11-12,0.20125786163522014
2019-11-13,0.22018348623853212
2019-11-14,0.26855123674911663
2019-11-15,0.2452316076294278
2019-11-16,0.2138728323699422
2019-11-17,0.23140495867768596
2019-11-18,0.19614147909967847
2019-11-19,0.31742243436754175
2019-11-20,0.3568627450980392
2019-11-21,0.24667931688804554
2019-11-22,0.20270270270270271
2019-11-23,0.203125
2019-11-24,0.27358490566037735
2019-11-25,0.18666666666666668
2019-11-26,0.13829787234042554
2019-11-27,0.19382022471910113
2019-11-28,0.24897119341563786
2019-11-29,0.1935483870967742
2019-11-30,0.1895424836601307
2019-12-01,0.17040358744394618
2019-12-02,0.20155038759689922
2019-12-03,0.16634050880626222
2019-12-04,0.1360153256704981
2019-12-05,0.10056925996204934
2019-12-06,0.14779270633397312
2019-12-07,0.16923076923076924
2019-12-08,0.1598173515981735
2019-12-09,0.1600790513833992
